iter	Passed	Remaining
0	48	48407
1	50	25046
2	51	17216
3	53	13334
4	54	10824
5	55	9153
6	56	7962
7	57	7075
8	57	6370
9	58	5799
10	59	5333
11	60	4948
12	60	4619
13	61	4346
14	62	4104
15	63	3898
16	64	3715
17	65	3547
18	65	3399
19	66	3264
20	67	3143
21	68	3033
22	69	2932
23	69	2840
24	70	2757
25	71	2675
26	72	2599
27	72	2527
28	73	2461
29	74	2399
30	74	2342
31	75	2293
32	76	2247
33	77	2198
34	78	2152
35	78	2108
36	79	2069
37	80	2031
38	81	1996
39	81	1963
40	82	1932
41	83	1901
42	84	1871
43	84	1843
44	85	1815
45	86	1789
46	86	1764
47	87	1739
48	88	1717
49	89	1696
50	90	1675
51	90	1656
52	91	1637
53	92	1619
54	93	1604
55	94	1586
56	94	1571
57	95	1554
58	96	1539
59	97	1523
60	97	1508
61	98	1492
62	99	1478
63	100	1464
64	100	1451
65	101	1438
66	102	1425
67	103	1418
68	104	1405
69	104	1393
70	105	1382
71	106	1372
72	107	1361
73	107	1350
74	108	1339
75	109	1329
76	110	1320
77	110	1311
78	113	1325
79	114	1315
80	115	1305
81	115	1296
82	116	1283
83	116	1274
84	117	1266
85	118	1258
86	119	1249
87	119	1241
88	120	1233
89	121	1226
90	121	1218
91	122	1210
92	123	1202
93	123	1194
94	124	1185
95	125	1178
96	125	1170
97	126	1162
98	126	1155
99	127	1148
100	128	1140
101	128	1134
102	129	1127
103	129	1119
104	130	1112
105	131	1105
106	131	1098
107	132	1091
108	132	1084
109	133	1077
110	133	1070
111	134	1063
112	134	1057
113	135	1050
114	135	1044
115	136	1037
116	136	1030
117	136	1023
118	137	1016
119	137	1010
120	138	1004
121	138	997
122	139	991
123	139	985
124	139	979
125	140	974
126	140	967
127	141	962
128	141	957
129	142	952
130	142	947
131	143	941
132	143	935
133	143	930
134	144	924
135	144	919
136	145	913
137	145	908
138	145	903
139	146	898
140	146	893
141	146	887
142	147	882
143	147	878
144	148	873
145	148	869
146	148	864
147	149	859
148	149	854
149	149	849
150	150	844
151	150	840
152	150	835
153	151	830
154	151	826
155	151	821
156	152	817
157	152	812
158	152	808
159	153	804
160	153	799
161	153	795
162	154	790
163	154	786
164	154	782
165	155	779
166	155	775
167	155	771
168	156	767
169	156	763
170	156	759
171	157	756
172	157	752
173	157	749
174	158	745
175	158	741
176	158	738
177	159	735
178	159	731
179	159	728
180	160	724
181	160	721
182	160	718
183	161	714
184	161	711
185	161	708
186	162	705
187	162	702
188	162	699
189	163	695
190	163	692
191	163	689
192	164	686
193	164	683
194	164	680
195	165	677
196	166	679
197	166	676
198	167	673
199	167	670
200	167	667
201	168	664
202	168	661
203	168	659
204	169	656
205	169	653
206	169	650
207	170	648
208	170	645
209	170	642
210	171	640
211	171	637
212	171	635
213	172	632
214	172	630
215	172	627
216	173	625
217	174	625
218	174	622
219	174	620
220	175	617
221	175	615
222	175	612
223	176	610
224	176	608
225	176	605
226	177	603
227	177	601
228	177	598
229	178	596
230	178	594
231	178	592
232	179	589
233	179	587
234	179	585
235	180	583
236	180	581
237	180	579
238	181	576
239	181	574
240	181	572
241	182	570
242	182	568
243	182	566
244	183	564
245	183	562
246	183	560
247	184	558
248	184	556
249	184	554
250	185	552
251	185	550
252	185	548
253	186	546
254	186	545
255	186	543
256	187	541
257	187	539
258	187	537
259	188	536
260	188	534
261	189	534
262	190	532
263	190	531
264	190	529
265	191	527
266	191	525
267	191	523
268	192	522
269	192	520
270	192	518
271	193	516
272	193	515
273	193	513
274	194	511
275	194	510
276	194	508
277	195	506
278	195	505
279	195	503
280	196	501
281	196	500
282	196	498
283	197	496
284	197	495
285	197	493
286	198	492
287	198	490
288	198	488
289	199	487
290	199	485
291	199	484
292	200	482
293	200	481
294	200	479
295	201	478
296	201	476
297	201	475
298	202	473
299	202	472
300	202	471
301	203	469
302	203	468
303	203	466
304	204	465
305	204	463
306	204	462
307	205	461
308	205	459
309	205	458
310	206	456
311	206	455
312	206	454
313	207	452
314	207	451
315	207	449
316	208	448
317	208	447
318	208	445
319	209	444
320	209	443
321	209	441
322	210	440
323	210	439
324	210	437
325	211	436
326	211	435
327	211	434
328	212	432
329	212	431
330	212	430
331	213	428
332	213	427
333	213	426
334	214	425
335	214	423
336	214	422
337	215	421
338	215	420
339	215	418
340	216	417
341	216	416
342	216	415
343	217	413
344	217	412
345	217	411
346	218	410
347	218	409
348	218	407
349	218	406
350	219	405
351	219	404
352	219	403
353	220	402
354	220	400
355	221	399
356	221	398
357	221	397
358	221	396
359	222	395
360	222	394
361	222	393
362	223	391
363	223	390
364	224	389
365	224	388
366	224	387
367	225	386
